
Timestamp,Air Temperature  (°C),Air Humidity  (),Air Pressure  (hPa),NO2  (µg/m³),NO2  (ppb),SO2  (µg/m³),SO2  (ppb),CO  (µg/m³),CO  (ppb),H2S  (µg/m³),H2S  (ppb),O3  (µg/m³),O3  (ppb),NO  (µg/m³),NO  (ppb),PM1 1H  (µg/m³),PM2.5 1H  (µg/m³),PM10 1H  (µg/m³),PM1 1min  (µg/m³),PM2.5 1min  (µg/m³),PM10 1min  (µg/m³)
"28/04/2026, 15:55", 39.1, 20.1, 999.7, 29.6, 16, 0.0, 0, 287.0, 246, 0.0, 0, 84.4, 42, 72.7, 58, 12.0, 35.3, 120.6, 13.0, 34.5, 106.5
"28/04/2026, 16:00", 39.0, 20.9, 999.7, 28.1, 15, 0.0, 0, 329.0, 283, 0.0, 0, 80.6, 40, 78.1, 63, 12.0, 35.3, 120.6, 13.0, 34.5, 106.5
"28/04/2026, 16:05", 39.1, 21.9, 999.7, 33.7, 18, 0.0, 0, 335.0, 288, 0.0, 0, 75.8, 38, 63.4, 51, 12.7, 35.4, 112.7, 12.7, 40.4, 120.1
"28/04/2026, 16:10", 39.0, 23.0, 999.7, 33.1, 17, 0.0, 0, 348.0, 299, 0.0, 0, 72.4, 36, 52.6, 42, 12.7, 35.4, 112.7, 12.7, 40.4, 120.1
"28/04/2026, 16:15", 39.0, 23.5, 999.8, 32.5, 17, 0.0, 0, 353.0, 303, 0.0, 0, 72.0, 36, 57.9, 46, 12.7, 35.4, 112.7, 13.3, 35.3, 110.5
